bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,taxa_condominio,preco_aluguel,iptu_ano
Vila Uberabinha,Flat,45.0,1,1,1,1,560.0,2450.0,87.0
Jardim Paulista,Flat,34.0,1,0,1,1,714.0,1882.0,77.0
Indianópolis,Apartamento,240.0,3,2,4,3,1798.0,12299.0,1365.0
Campos Eliseos,Flat,32.0,1,0,1,1,386.0,1767.0,62.0
Cidade São Francisco,Apartamento,72.0,2,1,3,2,401.0,1941.0,93.0
Moema,Flat,37.0,1,1,1,1,909.0,2100.0,70.0
Tatuapé,Flat,35.0,1,1,1,1,770.0,2240.0,70.0
Consolação,Flat,35.0,1,1,1,1,700.0,1767.0,70.0
Consolação,Flat,35.0,1,1,1,1,770.0,1819.0,70.0
Jardins,Flat,40.0,1,1,1,1,1400.0,3849.0,70.0
Chácara Santo Antônio,Flat,35.0,1,1,1,1,770.0,2730.0,70.0
Itaim Bibi,Flat,35.0,1,1,1,1,770.0,2800.0,70.0
Indianópolis,Flat,28.0,1,0,1,1,630.0,2029.0,70.0
Jardim Paulista,Flat,42.0,1,0,1,1,780.0,2191.0,77.0
Itaim Bibi,Flat,35.0,1,1,1,1,770.0,3150.0,70.0
Jardins,Flat,60.0,1,1,2,1,770.0,3500.0,70.0
Pinheiros,Apartamento,30.0,1,1,1,1,386.0,2485.0,70.0
Vila Olímpia,Flat,45.0,1,1,1,1,770.0,2800.0,70.0
Tatuapé,Flat,35.0,1,1,1,1,770.0,2240.0,70.0
Moema,Flat,40.0,1,1,1,1,770.0,2100.0,70.0
Consolação,Flat,35.0,1,1,1,1,770.0,3150.0,70.0
Vila Maria,Apartamento,64.0,1,0,2,1,386.0,1767.0,125.0
Jardins,Flat,35.0,1,1,1,1,770.0,2310.0,70.0
Jardins,Flat,40.0,1,1,1,1,1400.0,3500.0,70.0
Jardins,Flat,40.0,1,1,1,1,700.0,3220.0,70.0
Moema,Flat,40.0,1,1,1,1,770.0,2100.0,70.0
Jardins,Flat,35.0,1,1,1,1,979.0,3500.0,70.0
Brooklin,Flat,46.0,1,0,1,1,1050.0,3989.0,210.0
Campos Eliseos,Flat,32.0,1,0,1,1,532.0,1767.0,70.0
Jardim Paulista,Flat,40.0,1,0,1,1,630.0,2240.0,70.0
Chácara Santo Antônio,Flat,30.0,1,0,1,1,679.0,2079.0,91.0
Moema,Flat,35.0,1,1,1,1,770.0,2380.0,70.0
Morumbi,Apartamento,45.0,1,1,1,1,518.0,1767.0,84.0
Vila Uberabinha,Flat,34.0,1,0,1,1,801.0,2408.0,112.0
Jardins,Flat,35.0,1,1,1,1,840.0,2800.0,140.0
Jardim Paulista,Flat,38.0,1,0,1,1,700.0,2100.0,210.0
Vila Andrade,Apartamento,128.0,3,1,4,2,735.0,2765.0,301.0
